File_ID,Group_ID,Rating_01,Rating_02,Rating_03,Rating_04
img_0524.png,E,1,1,1,1
img_0525.png,E,1,1,1,1
img_0526.png,E,0,0,0,0
img_0527.png,E,2,2,2,2
img_0528.png,E,0,0,0,0
img_0529.png,E,1,1,1,1
img_0530.png,E,0,0,0,0
img_0531.png,E,1,2,1,1
img_0532.png,E,1,1,1,1
img_0533.png,E,1,1,1,1
img_0534.png,E,0,0,0,0
img_0535.png,E,1,1,1,1
img_0536.png,E,1,1,1,1
img_0537.png,E,1,1,1,1
img_0538.png,E,0,0,0,0
img_0539.png,E,0,0,0,0
img_0540.png,E,1,1,1,1
img_0541.png,E,0,0,0,0
img_0542.png,E,0,0,0,0
img_0543.png,E,1,1,1,1
img_0544.png,E,0,0,0,0
img_0545.png,E,0,0,0,0
img_0546.png,E,1,1,1,1
img_0547.png,E,0,0,0,0
img_0548.png,E,1,0,1,1
img_0549.png,E,2,2,2,1
img_0550.png,E,2,2,2,2
img_0551.png,E,0,0,0,0
img_0552.png,E,0,0,0,0
img_0553.png,E,0,0,1,1
img_0554.png,E,0,0,0,0
img_0555.png,E,2,2,2,2
img_0556.png,E,0,0,0,0
img_0557.png,E,0,1,1,0
img_0558.png,E,1,1,1,1
img_0559.png,E,0,0,0,1
img_0560.png,E,1,1,1,1
img_0561.png,E,1,1,1,1
img_0562.png,E,1,1,1,1
img_0563.png,E,0,0,0,0
img_0564.png,E,1,1,1,1
img_0565.png,E,0,0,0,0
img_0566.png,E,1,1,1,1
img_0567.png,E,1,2,1,2
img_0568.png,E,2,2,2,2
img_0569.png,E,0,0,0,0
img_0570.png,E,1,1,1,1
img_0571.png,E,1,2,1,1
img_0572.png,E,0,0,0,0
img_0573.png,E,2,2,2,2
img_0574.png,E,1,1,1,1
img_0575.png,E,1,2,1,1
img_0576.png,E,0,0,0,0
img_0577.png,E,0,0,0,0
img_0578.png,E,0,0,0,0
img_0579.png,E,0,1,1,1
img_0580.png,E,0,1,0,1
img_0581.png,E,0,0,0,0
img_0582.png,E,0,1,0,1
img_0583.png,E,1,1,1,1
img_0584.png,E,1,2,1,1
img_0585.png,E,0,0,0,0
img_0586.png,E,2,2,2,2
img_0587.png,E,1,1,1,1
img_0588.png,E,0,0,0,0
img_0589.png,E,0,2,0,1
img_0590.png,E,0,0,0,0
img_0591.png,E,1,1,1,1
img_0592.png,E,1,1,1,1
img_0593.png,E,0,0,0,0
img_0594.png,E,0,0,0,0
img_0595.png,E,0,1,0,0
img_0596.png,E,0,0,0,1
img_0597.png,E,1,2,1,1
img_0598.png,E,2,2,2,2
img_0599.png,E,0,0,0,0
img_0600.png,E,1,1,1,1
img_0601.png,E,0,0,0,0
img_0602.png,E,1,1,1,1
img_0603.png,E,1,1,1,1
img_0604.png,E,0,0,0,0
img_0605.png,E,1,1,0,1
img_0606.png,E,0,0,0,0
img_0607.png,E,0,1,0,1
img_0608.png,E,0,0,0,0
img_0609.png,E,0,0,0,0
img_0610.png,E,0,0,0,0
img_0611.png,E,0,0,0,0
img_0612.png,E,0,0,0,1
img_0613.png,E,0,0,0,0
img_0614.png,E,0,1,0,1
img_0615.png,E,0,0,0,0
img_0616.png,E,2,2,1,2
img_0617.png,E,0,0,0,0
img_0618.png,E,1,2,1,1
img_0619.png,E,1,1,1,1
img_0620.png,E,2,2,2,2
img_0621.png,E,1,2,1,1
img_0622.png,E,0,0,0,0
img_0623.png,E,0,1,0,0
img_0624.png,E,0,0,0,0
img_0625.png,E,0,0,0,0
img_0626.png,E,0,0,0,0
img_0627.png,E,2,2,1,2
img_0628.png,E,0,0,0,0
img_0629.png,E,0,0,0,0
img_0630.png,E,0,0,0,0
img_0631.png,E,1,2,1,1
img_0632.png,E,0,0,0,0
img_0633.png,E,1,1,1,1
img_0634.png,E,0,0,0,0
img_0635.png,E,1,1,1,1
img_0636.png,E,0,1,0,0
img_0637.png,E,0,0,0,0
img_0638.png,E,0,0,0,0
img_0639.png,E,0,0,0,0
img_0640.png,E,1,1,1,1
img_0641.png,E,1,1,1,1
img_0642.png,E,2,2,2,2
img_0643.png,E,0,0,0,0
img_0644.png,E,2,2,2,2
img_0645.png,E,0,0,0,0
img_0646.png,E,0,0,0,0
img_0647.png,E,0,0,0,0
img_0648.png,E,0,1,0,1
img_0649.png,E,0,0,0,0
img_0650.png,E,1,1,1,1
img_0651.png,E,1,1,1,1
img_0652.png,E,1,1,1,1
img_0653.png,E,1,1,1,1
